,station id,latitude,longitude,Arrivals_true,Departures_true,name,arrivals_characteristic,departures_characteristic
101,3256,40.72771408,-74.01129574,163.4945055,165.007326,Pier 40 - Hudson River Park,344.12609876255067,348.13139373194895
102,3160,40.77896784,-73.97374737,101.3406593,93.72527473,Central Park West & W 76 St,251.45411885103465,228.88060213465099
103,305,40.76095756,-73.96724467,113.42857140000001,113.60805859999999,E 58 St & 3 Ave,562.9418354465666,563.9512406035459
104,485,40.75038009,-73.98338988,87.20512821,86.61538462,W 37 St & 5 Ave,331.3080920731516,329.1850115288169
105,3314,40.7937704,-73.971888,71.56410256,69.38095238,W 95 St & Broadway,260.2894069900528,251.23094536756582
106,3316,40.798993700000004,-73.96621738,17.08791209,13.94139194,W 104 St & Amsterdam Ave,110.84096995084994,94.87100866683866
107,3155,40.76440023,-73.96648977,60.17216117,60.47619048,Lexington Ave & E 63 St,234.79209637981967,235.52823394832853
108,2008,40.70569254,-74.01677685,146.8498168,147.2564103,Little West St & 1 Pl,372.1236871155757,379.0163829888473
109,146,40.71625008,-74.0091059,79.61172161,80.39926740000001,Hudson St & Reade St,646.2711108246714,655.9381862589031
110,336,40.73047747,-73.99906065,145.1794872,149.71428569999995,Sullivan St & Washington Sq,830.9497019119149,852.6234592892542
111,495,40.76269882,-73.99301222,114.8351648,115.2893773,W 47 St & 10 Ave,489.18838304680344,490.5161777326157
112,405,40.739323,-74.008119,171.6227106,171.53479850000005,Washington St & Gansevoort St,706.5713359821294,712.2692970566429
113,494,40.74734825,-73.99723551,160.88278390000005,161.5091575,W 26 St & 8 Ave,704.2192906418042,707.2939062628217
114,536,40.74144387,-73.97536082,121.20512820000002,121.45054950000001,1 Ave & E 30 St,600.805268169707,600.6907990103156
115,3223,40.75899656,-73.96865398,102.040293,102.51282049999999,E 55 St & 3 Ave,589.7027036159077,591.9547679367414
116,3533,40.8114323,-73.95187759999997,25.02930403,25.91208791,St. Nicholas Ave & W 126 St,106.94073072153141,110.79033669650678
117,248,40.72185379,-74.00771779,33.67032967,33.94871795,Laight St & Hudson St,303.40499861860815,310.48835398651613
118,3461,40.71485151,-74.01122332,95.79120879,99.18315018,Murray St & Greenwich St,725.0313988278866,747.9995495450985
119,508,40.76341379,-73.99667444,109.46520149999999,110.1941392,W 46 St & 11 Ave,285.96029122834454,287.88978864221576
120,3372,40.7689738,-73.95482273,67.4029304,68.04761905,E 74 St & 1 Ave,323.3318334153456,326.2101559650106
121,302,40.72082834,-73.97793172,61.55677656,62.12820513,Avenue D & E 3 St,346.7573555473025,350.98090676404064
122,3360,40.7829391,-73.9786517,83.94871795,81.01831502,Amsterdam Ave & W 79 St,367.72169445905564,343.7246067091208
123,440,40.75255434,-73.97282625,85.90842491,86.23443223,E 45 St & 3 Ave,476.6883289599732,476.9035346847327
124,3263,40.72951496,-73.9907527,201.4212454,203.4761905,Cooper Square & Astor Pl,1247.123281159816,1262.9903384695074
125,3434,40.79025417,-73.9771834,30.39194139,29.08791209,W 88 St & West End Ave,158.23594374207227,147.42632643594834
126,161,40.72917025,-73.99810231,91.85714286,93.89010989,LaGuardia Pl & W 3 St,640.5247647777643,654.4631675971893
127,3431,40.746524,-73.977885,84.34432234,84.60805861,E 35 St & 3 Ave,433.2999194502621,433.5042194255111
128,470,40.74345335,-74.00004031,85.93040293,86.91208791,W 20 St & 8 Ave,691.9372895692027,698.9863196804263
129,3176,40.77452835,-73.98753759,47.13186813,45.71794872,W 64 St & West End Ave,222.95603019117476,218.01300542724672
130,3140,40.77140426,-73.9535166,106.24175819999999,107.81684979999999,1 Ave & E 78 St,406.88138839809886,412.0700182977423
131,496,40.73726186,-73.99238967,158.2344322,163.3589744,E 16 St & 5 Ave,1096.95021820354,1127.4455689586234
132,3658,40.74353373,-74.00367558,75.51282051,76.42124542,W 18 St & 9 Ave,697.9101982556907,709.5970268726044
133,462,40.74691959,-74.00451887,179.27838830000005,181.5054945,W 22 St & 10 Ave,840.2727111831589,855.1109105553164
134,456,40.75971079999999,-73.97402311,102.4358974,108.2967033,E 53 St & Madison Ave,400.669888666109,415.8160604097129
135,3437,40.79313481,-73.97700369,36.33699634,35.16483516,Riverside Dr & W 91 St,127.90578904060868,124.23529213526467
136,537,40.74025878,-73.98409214,179.4249084,178.3919414,Lexington Ave & E 24 St,637.2181384572723,634.3284408984129
137,3235,40.75216528,-73.97992194,110.83882779999999,111.021978,E 41 St & Madison Ave,786.8302417647933,783.6035444090189
138,345,40.73649403,-73.99704374,115.1355311,115.51648349999999,W 13 St & 6 Ave,681.9400042059488,687.9671343000041
139,363,40.70834698,-74.01713445,111.1941392,112.24542120000001,West Thames St,334.40905025821877,336.72081310560446
140,518,40.74780373,-73.97344190000003,147.4542125,147.1831502,E 39 St & 2 Ave,413.7010446485432,413.31387952208553
141,253,40.73543934,-73.99453948,72.37728938,73.00732601,W 13 St & 5 Ave,691.4799973547704,701.0425929430212
142,3178,40.78414472,-73.98362492,47.55677656,46.2014652,Riverside Dr & W 78 St,137.41119682654767,132.5160580324963
143,509,40.7454973,-74.00197139,169.989011,172.3956044,9 Ave & W 22 St,888.9594499342627,901.1245798904171
144,3307,40.7941654,-73.974124,42.51282051,42.21978022,West End Ave & W 94 St,193.60738044725446,190.0114112095324
145,402,40.74034320000001,-73.98955109,294.5018315,301.018315,Broadway & E 22 St,1213.3783436974306,1237.3914294605618
146,394,40.72521311,-73.97768752,106.33333329999999,100.4249084,E 9 St & Avenue C,564.4671947772551,540.9026288450364
147,527,40.744023,-73.976056,80.23076923,80.05860806,E 33 St & 2 Ave,516.5687759307928,515.8349382528621
148,3366,40.8021174,-73.96818053,36.52747253,30.28571429,West End Ave & W 107 St,174.8319209757594,150.19638852140235
149,3162,40.78339981,-73.98093133,60.24542125,54.85347985,W 78 St & Broadway,272.00166461656295,253.41014165388867
150,3244,40.73143724,-73.99490342,119.1794872,120.05494509999998,University Pl & E 8 St,732.9589992561196,742.0837357527014
151,360,40.70717936,-74.00887308,57.93040293,57.91208791,William St & Pine St,551.4984939804227,553.9199476642069
152,3163,40.7734066,-73.97782542,154.3772894,139.4322344,Central Park West & W 68 St,368.605841113197,329.0380205722344
153,3547,40.8143256,-73.9590255,37.13553114,38.91575092,Broadway & Moylan Pl,86.7109095890998,90.87707799861167
154,303,40.72362738,-73.99949601,101.2600733,103.28205129999999,Mercer St & Spring St,557.5265265118403,567.8509555825814
155,223,40.73781509,-73.99994661,101.2197802,102.39194140000001,W 13 St & 7 Ave,715.4820527391427,724.3732505513974
156,167,40.7489006,-73.97604882,119.7032967,119.49450549999999,E 39 St & 3 Ave,613.7817716010743,610.5573313188409
157,387,40.71273266,-74.0046073,206.981685,205.6336996,Centre St & Chambers St,739.2702564160375,735.5856300363369
158,3659,40.74294892,-74.00413692,94.73626374,98.57875458,W 17 St & 9 Ave,778.2917387247567,803.5433616093878
159,268,40.71910537,-73.99973337,116.1904762,116.7032967,Howard St & Centre St,517.9992499733257,521.0958784217364
